datetime_et,calendar_date_et,session_date,time_et,session,open,high,low,close,volume
2026-08-28T04:00:00-04:00,2026-08-28,2026-08-28,04:00:00,premarket,355.02,355.9782,353.5517,355.75,0
2026-08-28T04:01:00-04:00,2026-08-28,2026-08-28,04:01:00,premarket,355.39,355.98,354.31,355.55,0
2026-08-28T04:02:00-04:00,2026-08-28,2026-08-28,04:02:00,premarket,355.8195,355.8195,355.4929,355.57,0
2026-08-28T04:03:00-04:00,2026-08-28,2026-08-28,04:03:00,premarket,355.7508,355.9488,355.5405,355.9296,0
2026-08-28T04:04:00-04:00,2026-08-28,2026-08-28,04:04:00,premarket,355.7688,355.9157,355.6,355.6,0
2026-08-28T04:05:00-04:00,2026-08-28,2026-08-28,04:05:00,premarket,355.62,355.96,354.4,354.7,0
2026-08-28T04:06:00-04:00,2026-08-28,2026-08-28,04:06:00,premarket,355.62,355.67,355.14,355.2,0
2026-08-28T04:07:00-04:00,2026-08-28,2026-08-28,04:07:00,premarket,355.2099,355.3,355.2099,355.27,0
2026-08-28T04:08:00-04:00,2026-08-28,2026-08-28,04:08:00,premarket,355.22,355.4,355.22,355.2833,0
2026-08-28T04:09:00-04:00,2026-08-28,2026-08-28,04:09:00,premarket,355.2841,355.4411,355.2555,355.4,0
2026-08-28T04:10:00-04:00,2026-08-28,2026-08-28,04:10:00,premarket,355.4,355.47,355.282,355.282,0
2026-08-28T04:11:00-04:00,2026-08-28,2026-08-28,04:11:00,premarket,355.55,355.7415,355.48,355.6018,0
2026-08-28T04:12:00-04:00,2026-08-28,2026-08-28,04:12:00,premarket,355.7,355.98,355.5787,355.79,0
2026-08-28T04:13:00-04:00,2026-08-28,2026-08-28,04:13:00,premarket,355.92,355.9725,355.6862,355.94,0
2026-08-28T04:14:00-04:00,2026-08-28,2026-08-28,04:14:00,premarket,355.94,355.9749,355.91,355.9178,0
2026-08-28T04:15:00-04:00,2026-08-28,2026-08-28,04:15:00,premarket,355.91,356.2108,355.8702,356.08,0
2026-08-28T04:16:00-04:00,2026-08-28,2026-08-28,04:16:00,premarket,356.16,356.2927,356.1,356.25,0
2026-08-28T04:17:00-04:00,2026-08-28,2026-08-28,04:17:00,premarket,356.1733,356.297,356.1727,356.24,0
2026-08-28T04:18:00-04:00,2026-08-28,2026-08-28,04:18:00,premarket,356.25,356.25,356.19,356.21,0
2026-08-28T04:19:00-04:00,2026-08-28,2026-08-28,04:19:00,premarket,356.25,356.3,356.2025,356.23,0
2026-08-28T04:20:00-04:00,2026-08-28,2026-08-28,04:20:00,premarket,356.2446,356.36,356.2,356.36,0
2026-08-28T04:21:00-04:00,2026-08-28,2026-08-28,04:21:00,premarket,356.4,356.4,356.22,356.3416,0
2026-08-28T04:22:00-04:00,2026-08-28,2026-08-28,04:22:00,premarket,356.29,356.365,356.28,356.28,0
2026-08-28T04:23:00-04:00,2026-08-28,2026-08-28,04:23:00,premarket,356.35,356.44,356.35,356.43,0
2026-08-28T04:24:00-04:00,2026-08-28,2026-08-28,04:24:00,premarket,356.4016,356.6585,356.4016,356.46,0
2026-08-28T04:25:00-04:00,2026-08-28,2026-08-28,04:25:00,premarket,356.58,356.58,356.31,356.52,0
2026-08-28T04:26:00-04:00,2026-08-28,2026-08-28,04:26:00,premarket,356.46,356.4972,356.3903,356.46,0
2026-08-28T04:27:00-04:00,2026-08-28,2026-08-28,04:27:00,premarket,356.3927,356.5,356.3927,356.46,0
2026-08-28T04:28:00-04:00,2026-08-28,2026-08-28,04:28:00,premarket,356.48,356.5,356.42,356.4315,0
2026-08-28T04:29:00-04:00,2026-08-28,2026-08-28,04:29:00,premarket,356.4432,356.45,356.4,356.4,0
2026-08-28T04:30:00-04:00,2026-08-28,2026-08-28,04:30:00,premarket,356.4,356.62,356.31,356.54,0
2026-08-28T04:31:00-04:00,2026-08-28,2026-08-28,04:31:00,premarket,356.6,356.76,356.4879,356.7,0
2026-08-28T04:32:00-04:00,2026-08-28,2026-08-28,04:32:00,premarket,356.5078,356.71,356.5078,356.6,0
2026-08-28T04:33:00-04:00,2026-08-28,2026-08-28,04:33:00,premarket,356.7,356.9,356.62,356.9,0
2026-08-28T04:34:00-04:00,2026-08-28,2026-08-28,04:34:00,premarket,356.88,356.9,356.88,356.9,0
2026-08-28T04:35:00-04:00,2026-08-28,2026-08-28,04:35:00,premarket,356.9,357.01,356.84,357.01,0
2026-08-28T04:36:00-04:00,2026-08-28,2026-08-28,04:36:00,premarket,357.1745,357.1755,357.0045,357.1,0
2026-08-28T04:37:00-04:00,2026-08-28,2026-08-28,04:37:00,premarket,357.05,357.15,356.95,357.1,0
2026-08-28T04:38:00-04:00,2026-08-28,2026-08-28,04:38:00,premarket,357.1,357.1295,356.4237,356.4237,0
2026-08-28T04:39:00-04:00,2026-08-28,2026-08-28,04:39:00,premarket,356.4212,357,356.4212,356.9047,0
2026-08-28T04:40:00-04:00,2026-08-28,2026-08-28,04:40:00,premarket,356.96,357.13,356.96,357.12,0
2026-08-28T04:41:00-04:00,2026-08-28,2026-08-28,04:41:00,premarket,357.13,357.25,357.1277,357.23,0
2026-08-28T04:42:00-04:00,2026-08-28,2026-08-28,04:42:00,premarket,357.23,357.25,357.1961,357.2,0
