datetime_et,calendar_date_et,session_date,time_et,session,open,high,low,close,volume
2026-09-01T07:00:00-04:00,2026-09-01,2026-09-01,07:00:00,premarket,363.61,363.89,363.3352,363.5,13248
2026-09-01T07:01:00-04:00,2026-09-01,2026-09-01,07:01:00,premarket,363.5255,363.89,363.5,363.6578,8228
2026-09-01T07:02:00-04:00,2026-09-01,2026-09-01,07:02:00,premarket,363.8221,364.35,363.8221,364.22,2146
2026-09-01T07:03:00-04:00,2026-09-01,2026-09-01,07:03:00,premarket,364.25,364.3,364.04,364.04,2934
2026-09-01T07:04:00-04:00,2026-09-01,2026-09-01,07:04:00,premarket,364.06,364.192,364.06,364.1,2012
2026-09-01T07:05:00-04:00,2026-09-01,2026-09-01,07:05:00,premarket,364.01,364.01,363.6,363.68,4840
2026-09-01T07:06:00-04:00,2026-09-01,2026-09-01,07:06:00,premarket,363.63,364,363.6,363.75,14466
2026-09-01T07:07:00-04:00,2026-09-01,2026-09-01,07:07:00,premarket,363.8,363.9163,363.7,363.7,1260
2026-09-01T07:08:00-04:00,2026-09-01,2026-09-01,07:08:00,premarket,363.8,363.95,363.69,363.71,2161
2026-09-01T07:09:00-04:00,2026-09-01,2026-09-01,07:09:00,premarket,363.65,363.65,363.5,363.6308,4508
2026-09-01T07:10:00-04:00,2026-09-01,2026-09-01,07:10:00,premarket,363.52,363.62,363.5,363.51,3458
2026-09-01T07:11:00-04:00,2026-09-01,2026-09-01,07:11:00,premarket,363.4831,363.55,363.46,363.5301,1002
2026-09-01T07:12:00-04:00,2026-09-01,2026-09-01,07:12:00,premarket,363.5099,363.72,363.5099,363.72,949
2026-09-01T07:13:00-04:00,2026-09-01,2026-09-01,07:13:00,premarket,363.65,363.664,363.65,363.664,735
2026-09-01T07:14:00-04:00,2026-09-01,2026-09-01,07:14:00,premarket,363.6406,363.6586,363.6,363.6,1349
2026-09-01T07:15:00-04:00,2026-09-01,2026-09-01,07:15:00,premarket,363.6,363.75,363.5,363.6824,2596
2026-09-01T07:16:00-04:00,2026-09-01,2026-09-01,07:16:00,premarket,363.7408,363.8,363.7408,363.77,2866
2026-09-01T07:17:00-04:00,2026-09-01,2026-09-01,07:17:00,premarket,363.66,363.89,363.5,363.89,2647
2026-09-01T07:18:00-04:00,2026-09-01,2026-09-01,07:18:00,premarket,363.8,363.8817,363.6532,363.8817,1291
2026-09-01T07:19:00-04:00,2026-09-01,2026-09-01,07:19:00,premarket,363.6872,363.79,363.68,363.7877,612
2026-09-01T07:20:00-04:00,2026-09-01,2026-09-01,07:20:00,premarket,363.73,363.8601,363.53,363.53,1632
2026-09-01T07:21:00-04:00,2026-09-01,2026-09-01,07:21:00,premarket,363.6,363.62,363.38,363.38,2931
2026-09-01T07:22:00-04:00,2026-09-01,2026-09-01,07:22:00,premarket,363.4,363.4,363.2,363.25,2838
2026-09-01T07:23:00-04:00,2026-09-01,2026-09-01,07:23:00,premarket,363.3,363.3,363.15,363.2,1819
2026-09-01T07:24:00-04:00,2026-09-01,2026-09-01,07:24:00,premarket,363.2,363.3,363.15,363.3,4175
2026-09-01T07:25:00-04:00,2026-09-01,2026-09-01,07:25:00,premarket,363.23,363.3,363.17,363.3,1931
2026-09-01T07:26:00-04:00,2026-09-01,2026-09-01,07:26:00,premarket,363.2279,363.5,363.21,363.4,3465
2026-09-01T07:27:00-04:00,2026-09-01,2026-09-01,07:27:00,premarket,363.53,363.57,363.53,363.57,1047
2026-09-01T07:28:00-04:00,2026-09-01,2026-09-01,07:28:00,premarket,363.7,363.8138,363.654,363.8138,1925
2026-09-01T07:29:00-04:00,2026-09-01,2026-09-01,07:29:00,premarket,363.75,363.75,363.4,363.41,3860
2026-09-01T07:30:00-04:00,2026-09-01,2026-09-01,07:30:00,premarket,363.52,363.72,363.31,363.4362,2534
2026-09-01T07:31:00-04:00,2026-09-01,2026-09-01,07:31:00,premarket,363.74,363.74,363.55,363.74,3389
2026-09-01T07:32:00-04:00,2026-09-01,2026-09-01,07:32:00,premarket,363.6944,363.74,363.6,363.6893,1540
2026-09-01T07:33:00-04:00,2026-09-01,2026-09-01,07:33:00,premarket,363.61,363.61,363.5903,363.5903,1843
2026-09-01T07:34:00-04:00,2026-09-01,2026-09-01,07:34:00,premarket,363.61,363.61,363.3,363.44,4728
2026-09-01T07:35:00-04:00,2026-09-01,2026-09-01,07:35:00,premarket,363.4392,363.47,363.43,363.43,729
2026-09-01T07:36:00-04:00,2026-09-01,2026-09-01,07:36:00,premarket,363.43,363.65,363.42,363.61,1671
2026-09-01T07:37:00-04:00,2026-09-01,2026-09-01,07:37:00,premarket,363.61,363.63,363.45,363.4779,707
2026-09-01T07:38:00-04:00,2026-09-01,2026-09-01,07:38:00,premarket,363.6,363.65,363.5201,363.6381,1126
2026-09-01T07:39:00-04:00,2026-09-01,2026-09-01,07:39:00,premarket,363.65,364.09,363.6455,364.0887,4550
2026-09-01T07:40:00-04:00,2026-09-01,2026-09-01,07:40:00,premarket,364.09,364.19,364.0003,364.19,2991
2026-09-01T07:41:00-04:00,2026-09-01,2026-09-01,07:41:00,premarket,364.1194,364.13,364.028,364.028,341
2026-09-01T07:42:00-04:00,2026-09-01,2026-09-01,07:42:00,premarket,364.0996,364.0996,363.868,363.868,1166
2026-09-01T07:43:00-04:00,2026-09-01,2026-09-01,07:43:00,premarket,363.78,363.9,363.78,363.78,3890
2026-09-01T07:44:00-04:00,2026-09-01,2026-09-01,07:44:00,premarket,363.8392,363.8392,363.631,363.75,826
2026-09-01T07:45:00-04:00,2026-09-01,2026-09-01,07:45:00,premarket,363.779,363.779,363.57,363.57,1225
2026-09-01T07:46:00-04:00,2026-09-01,2026-09-01,07:46:00,premarket,363.67,363.67,363.4,363.4,1415
2026-09-01T07:47:00-04:00,2026-09-01,2026-09-01,07:47:00,premarket,363.41,363.4235,363.17,363.17,1436
2026-09-01T07:48:00-04:00,2026-09-01,2026-09-01,07:48:00,premarket,363.15,363.15,362.8,363.14,15189
2026-09-01T07:49:00-04:00,2026-09-01,2026-09-01,07:49:00,premarket,363.24,363.24,362.8539,363.09,742
2026-09-01T07:50:00-04:00,2026-09-01,2026-09-01,07:50:00,premarket,362.9002,363,362.77,362.85,1539
2026-09-01T07:51:00-04:00,2026-09-01,2026-09-01,07:51:00,premarket,362.88,363.0661,362.77,363.0661,693
2026-09-01T07:52:00-04:00,2026-09-01,2026-09-01,07:52:00,premarket,363.08,363.35,362.99,363.28,4015
2026-09-01T07:53:00-04:00,2026-09-01,2026-09-01,07:53:00,premarket,363.15,363.2323,363.15,363.22,769
2026-09-01T07:54:00-04:00,2026-09-01,2026-09-01,07:54:00,premarket,363.25,363.3,362.84,362.84,1933
2026-09-01T07:55:00-04:00,2026-09-01,2026-09-01,07:55:00,premarket,362.84,362.89,362.7,362.8586,4229
2026-09-01T07:56:00-04:00,2026-09-01,2026-09-01,07:56:00,premarket,362.7003,362.85,362.65,362.65,19003
2026-09-01T07:57:00-04:00,2026-09-01,2026-09-01,07:57:00,premarket,362.58,362.7043,362.58,362.63,2968
2026-09-01T07:58:00-04:00,2026-09-01,2026-09-01,07:58:00,premarket,362.6303,362.69,362.55,362.59,4118
